case_id,suite,execution_set,priority,category,subcategory,language,conversation_type,role,user_ref,household_ref,label_source,acceptable_tools,pair_id,turn_1,turn_2,turn_3,expected_facts,forbidden_content
V2-GR-0001,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p01,승강기 주로프 마모로 문제가 있었던 적 있나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0002,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p01,승강기 주로프 마모로 문제가 있었던 적 있나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0003,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p02,404동 승강기 주로프에 이상이 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0004,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p02,404동 승강기 주로프에 이상이 있었나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0005,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p03,부스터펌프에 진동 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0006,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p03,부스터펌프에 진동 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0007,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p04,지역난방 열교환기 차압조절밸브에 문제가 있었던 적 있나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0008,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p04,지역난방 열교환기 차압조절밸브에 문제가 있었던 적 있나요? 원인과 조치를 알려주세요.,,,,
V2-GR-0009,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p05,화재수신반 중계기 통신 불량이 있었나요? 원인과 조치가 궁금합니다.,,,,
V2-GR-0010,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p05,화재수신반 중계기 통신 불량이 있었나요? 원인과 조치가 궁금합니다.,,,,
