case_id,suite,execution_set,priority,category,subcategory,language,conversation_type,role,user_ref,household_ref,label_source,acceptable_tools,pair_id,turn_1,turn_2,turn_3,expected_facts,forbidden_content,expected_citations,expected_tool,expected_behavior,as_of,label_source_resolved,tenant_id,user_id,household_id,citation_gate,fallback_gate
V2-GR-0001,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p01,승강기 주로프 마모로 문제가 있었던 적 있나요? 원인과 조치가 궁금합니다.,,,,,4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,search_documents,answered,,documents id=4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0002,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p01,승강기 주로프 마모로 문제가 있었던 적 있나요? 원인과 조치가 궁금합니다.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0003,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p02,404동 승강기 주로프에 이상이 있었나요? 원인과 조치를 알려주세요.,,,,,4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,search_documents,answered,,documents id=4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0004,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p02,404동 승강기 주로프에 이상이 있었나요? 원인과 조치를 알려주세요.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0005,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p03,부스터펌프에 진동 문제가 있었나요? 원인과 조치가 궁금합니다.,,,,,4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,search_documents,answered,,documents id=4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0006,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p03,부스터펌프에 진동 문제가 있었나요? 원인과 조치가 궁금합니다.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0007,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p04,지역난방 열교환기 차압조절밸브에 문제가 있었던 적 있나요? 원인과 조치를 알려주세요.,,,,,4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,search_documents,answered,,documents id=4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0008,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p04,지역난방 열교환기 차압조절밸브에 문제가 있었던 적 있나요? 원인과 조치를 알려주세요.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0009,질문→답변 품질 v2,Full,P1,시설·설비,병렬-문서,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,doc:설비 장애·정비 이력 요약(2024~2026),,p05,화재수신반 중계기 통신 불량이 있었나요? 원인과 조치가 궁금합니다.,,,,,4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,search_documents,answered,,documents id=4b3d746c-d409-4bdc-92e4-f2f7cb1269ba,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
V2-GR-0010,질문→답변 품질 v2,Full,P1,시설·설비,병렬-그래프,한국어,단일,MANAGER,46f87feb-94bc-4c5c-a768-89366e8737f6,,graph:incident,,p05,화재수신반 중계기 통신 불량이 있었나요? 원인과 조치가 궁금합니다.,,,"유사 장애: 운행 중 덜컹거리는 소음, 3층 정차 시 지연 발생",,tool:search_facility_graph,search_facility_graph,answered,,incidents n=17,11111111-1111-1111-1111-111111111111,46f87feb-94bc-4c5c-a768-89366e8737f6,,필수,해당 없음
